Tissue,Line,Harvest,Treatment,Mg AVG,Mg SE,P AVG,P SE,S AVG,S SE,Ca AVG,Ca SE,Mn AVG,Mn SE,Fe AVG,Fe SE,Co AVG,Co SE,Ni AVG,Ni SE,Cu AVG,Cu SE,Zn AVG,Zn SE,Cd AVG,Cd SE
2_Stem,1_Line 546,4_4WAA,2_c1z2,1377.320479,88.65803623,3691.642238,197.8926497,1798.630005,54.97698204,271.330729,48.53285356,54.72565,6.322123634,45.70226217,6.029040246,30.9852424,0.158762602,18.30192034,2.06482699,7.215332755,1.167395033,23.14711647,3.580225356,2.83875705,0.258491415
2_Stem,2_Line 667,4_4WAA,2_c1z2,2454.793056,950.9474907,3587.505087,224.9619438,1925.724439,352.5451525,264.4780014,81.67980208,74.88778,23.69718082,59.33594997,18.41273529,31.84012195,0.436949659,13.63081124,0.302584362,8.976892529,1.287595114,14.13252133,2.19146278,7.497274617,1.38119666
2_Stem,3_Line 428,4_4WAA,2_c1z2,1770.991316,173.9426007,5681.891439,486.4161393,2568.133729,266.0826163,304.007596,23.1926233,82.52928125,10.47736837,71.68857213,7.112282152,30.39213224,0.077961097,16.34681872,0.434367266,9.637908388,0.980749569,41.09175501,3.571841662,8.933146653,0.974294701
2_Stem,1_Line 546,1_Vegetative,3_c0z10,2894.719838,277.2490643,5383.528765,620.4402632,2896.816613,386.0792499,1286.987178,168.1701728,40.88105524,4.369786622,28.48754974,5.806564751,26.77387045,2.934808287,60.90637536,15.45026898,22.88930042,3.637956039,363.9445357,26.20587266,0.064667896,0.050599751
2_Stem,2_Line 667,1_Vegetative,3_c0z10,3428.369676,128.1791503,6879.384225,435.5860091,3334.538535,203.9338388,1617.021775,82.90069988,29.84356049,1.446124949,24.85958408,3.114840891,39.0494472,3.033759383,17.35264564,2.400019385,19.24269277,1.705600765,260.4103905,17.1009093,0.038740932,0.006748519
2_Stem,3_Line 428,1_Vegetative,3_c0z10,3855.758745,199.8520748,8687.412326,294.8999673,4255.672309,256.573568,1818.798926,29.32800999,19.67221762,1.384213265,26.00231364,2.169092309,20.64534678,2.679030476,41.52389982,3.255108122,20.52207992,3.409071896,476.893514,36.03538472,-0.036473425,0.031869682
2_Stem,1_Line 546,2_Anthesis,3_c0z10,2483.319695,505.0937299,3766.333274,795.4014553,2369.922774,361.5836044,1522.851374,403.0885609,17.16160816,2.910965791,29.37441047,5.341824624,24.74563049,6.939644002,6.448002451,2.393976152,8.436859322,3.172330116,142.9432444,101.9185816,0.063980022,0.087890104
2_Stem,2_Line 667,2_Anthesis,3_c0z10,1558.023752,104.7747109,3352.040145,237.2218344,2272.639969,454.9538834,1301.947405,132.9435684,7.935169595,0.984948426,67.82108987,8.472780726,22.69319288,2.317664246,17.83010834,5.123612558,13.83152945,3.140489693,82.1011869,6.158558304,0.090056283,0.131174824
2_Stem,3_Line 428,2_Anthesis,3_c0z10,1754.178357,124.6506808,5020.658995,404.3771365,1991.107556,138.0625817,1081.422124,131.4714306,11.09463192,1.39432983,81.18688056,12.62430138,28.9762095,2.757613831,8.855286993,1.268485188,8.762336535,0.84654026,172.9053138,17.65199768,0.094747432,0.012918926
2_Stem,1_Line 546,3_2WAA,3_c0z10,2055.606444,536.8181582,3494.177813,699.9265044,2953.937058,1299.119081,2620.20793,1743.062465,11.78019686,1.791073801,43.28579086,18.45503879,23.57030892,1.746966258,9.328636372,2.438521932,8.075026295,1.251035276,100.5991814,54.26317941,0.117056803,0.059747948
